lad19cd,lad19nm,Age.16+..Respondents, Age.16+..Inactive , Age.16+..Fairly.Active , Age.16..Active ,Male.Respondents, Male.Inactive , Male.Fairly.Active , Male.Active ,Female.Respondents, Female.Inactive , Female.Fairly.Active , Female.Active ,Total.Inactive.breaks,Total.Fairly.Active.breaks,Total.Active.breaks,Male.Inactive.breaks,Male.Fairly.Active.breaks,Male.Active.breaks,Female.Inactive.breaks,Female.Fairly.Active.breaks,Female.Active.breaks
E07000145,Great Yarmouth,452, 0.30 , 0.11 , 0.59 ,200, 0.35 , -   , 0.53 ,250, 0.24 , 0.11 , 0.66 ,20-30%,10-20%,50-60%,30-40%,NA,50-60%,20-30%,10-20%,60-70%
E09000011,Greenwich,438, 0.22 , 0.16 , 0.62 ,179, 0.20 , -   , 0.65 ,258, 0.23 , 0.17 , 0.60 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,20-30%,10-20%,50-60%
E07000209,Guildford,476, 0.19 , 0.09 , 0.72 ,210, 0.14 , -   , 0.79 ,265, 0.24 , 0.11 , 0.65 ,10-20%,0-10%,70-80%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E09000012,Hackney,564, 0.22 , 0.09 , 0.69 ,241, 0.25 , -   , 0.67 ,322, 0.19 , -   , 0.71 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,10-20%,NA,70-80%
E06000006,Halton,482, 0.27 , 0.12 , 0.61 ,187, 0.22 , -   , 0.68 ,293, 0.32 , 0.13 , 0.55 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000164,Hambleton,519, 0.24 , 0.11 , 0.64 ,236, 0.30 , -   , 0.58 ,282, 0.19 , -   , 0.70 ,20-30%,10-20%,60-70%,30-40%,NA,50-60%,10-20%,NA,60-70%
E09000013,Hammersmith and Fulham,473, 0.21 , 0.10 , 0.69 ,191, 0.19 , -   , 0.73 ,279, 0.23 , -   , 0.67 ,20-30%,0-10%,60-70%,10-20%,NA,70-80%,20-30%,NA,60-70%
E07000131,Harborough,479, 0.23 , 0.13 , 0.65 ,214, 0.25 , -   , 0.63 ,263, 0.20 , 0.13 , 0.67 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E09000014,Haringey,465, 0.24 , 0.10 , 0.65 ,204, 0.24 , -   , 0.67 ,260, 0.25 , 0.10 , 0.64 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000073,Harlow,528, 0.29 , 0.12 , 0.59 ,206, 0.25 , -   , 0.64 ,320, 0.32 , 0.12 , 0.56 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000165,Harrogate,467, 0.20 , 0.15 , 0.65 ,217, 0.19 , 0.17 , 0.64 ,250, 0.20 , 0.14 , 0.66 ,10-20%,10-20%,60-70%,10-20%,10-20%,60-70%,20-30%,10-20%,60-70%
E09000015,Harrow,475, 0.32 , 0.12 , 0.56 ,236, 0.30 , -   , 0.60 ,237, 0.34 , 0.15 , 0.51 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,50-60%
E07000089,Hart,514, 0.19 , 0.11 , 0.70 ,256, 0.19 , -   , 0.72 ,258, 0.19 , 0.13 , 0.68 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,10-20%,60-70%
E06000001,Hartlepool,449, 0.36 , 0.09 , 0.55 ,201, 0.36 , -   , 0.55 ,245, 0.34 , -   , 0.57 ,30-40%,0-10%,50-60%,30-40%,NA,50-60%,30-40%,NA,50-60%
E07000062,Hastings,463, 0.26 , 0.14 , 0.60 ,206, 0.26 , -   , 0.62 ,256, 0.27 , 0.15 , 0.58 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000090,Havant,454, 0.25 , 0.15 , 0.61 ,213, 0.26 , 0.14 , 0.60 ,238, 0.23 , 0.15 , 0.62 ,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%
E09000016,Havering,505, 0.26 , 0.15 , 0.59 ,224, 0.26 , 0.14 , 0.61 ,278, 0.27 , 0.17 , 0.57 ,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E06000019,"Herefordshire, County of",506, 0.25 , 0.12 , 0.63 ,207, 0.20 , -   , 0.68 ,297, 0.28 , 0.12 , 0.59 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000098,Hertsmere,505, 0.23 , 0.18 , 0.60 ,229, 0.21 , 0.15 , 0.64 ,276, 0.24 , 0.20 , 0.55 ,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%,20-30%,20-30%,50-60%
E07000037,High Peak,491, 0.20 , 0.11 , 0.69 ,212, 0.20 , -   , 0.72 ,277, 0.19 , 0.14 , 0.66 ,10-20%,10-20%,60-70%,20-30%,NA,70-80%,10-20%,10-20%,60-70%
E09000017,Hillingdon,472, 0.27 , 0.17 , 0.56 ,226, 0.29 , 0.14 , 0.56 ,244, 0.24 , 0.21 , 0.55 ,20-30%,10-20%,50-60%,20-30%,10-20%,50-60%,20-30%,20-30%,50-60%
E07000132,Hinckley and Bosworth,513, 0.25 , 0.14 , 0.61 ,221, 0.25 , -   , 0.62 ,290, 0.24 , 0.15 , 0.61 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000227,Horsham,470, 0.24 , 0.14 , 0.63 ,227, 0.25 , -   , 0.62 ,242, 0.21 , 0.14 , 0.64 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E09000018,Hounslow,463, 0.29 , 0.13 , 0.58 ,209, 0.27 , -   , 0.59 ,251, 0.31 , 0.13 , 0.56 ,20-30%,10-20%,50-60%,20-30%,NA,50-60%,30-40%,10-20%,50-60%
E07000011,Huntingdonshire,474, 0.24 , 0.17 , 0.59 ,218, 0.24 , 0.18 , 0.58 ,254, 0.24 , 0.15 , 0.61 ,20-30%,10-20%,50-60%,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%
E07000120,Hyndburn,463, 0.30 , 0.08 , 0.62 ,209, 0.27 , -   , 0.64 ,253, 0.34 , -   , 0.59 ,30-40%,0-10%,60-70%,20-30%,NA,60-70%,30-40%,NA,50-60%
E07000202,Ipswich,531, 0.27 , 0.15 , 0.58 ,234, 0.22 , 0.15 , 0.63 ,296, 0.33 , 0.15 , 0.52 ,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%,30-40%,10-20%,50-60%
E06000046,Isle of Wight,457, 0.26 , 0.10 , 0.64 ,183, 0.31 , -   , 0.63 ,271, 0.22 , 0.13 , 0.65 ,20-30%,0-10%,60-70%,30-40%,NA,60-70%,20-30%,10-20%,60-70%
E06000053,Isles of Scilly,254, 0.21 , -   , 0.71 ,115, -   , -   , 0.75 ,138, -   , -   , 0.68 ,20-30%,NA,70-80%,NA,NA,70-80%,NA,NA,60-70%
E09000019,Islington,508, 0.17 , 0.08 , 0.75 ,235, 0.15 , -   , 0.79 ,267, 0.19 , 0.10 , 0.70 ,10-20%,0-10%,70-80%,10-20%,NA,70-80%,10-20%,10-20%,70-80%
E09000020,Kensington and Chelsea,557, 0.21 , 0.08 , 0.71 ,254, 0.17 , -   , 0.76 ,300, 0.26 , 0.08 , 0.66 ,20-30%,0-10%,70-80%,10-20%,NA,70-80%,20-30%,0-10%,60-70%
E07000153,Kettering,448, 0.26 , 0.12 , 0.61 ,207, 0.25 , -   , 0.66 ,241, 0.28 , 0.15 , 0.56 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000146,Kings Lynn and West Norfolk,463, 0.29 , 0.14 , 0.57 ,200, 0.27 , 0.16 , 0.57 ,262, 0.31 , 0.13 , 0.56 ,20-30%,10-20%,50-60%,20-30%,10-20%,50-60%,30-40%,10-20%,50-60%
E06000010,"Kingston upon Hull, City of",461, 0.30 , 0.14 , 0.56 ,188, 0.30 , -   , 0.60 ,270, 0.30 , 0.16 , 0.54 ,30-40%,10-20%,50-60%,30-40%,NA,60-70%,30-40%,10-20%,50-60%
E09000021,Kingston upon Thames,502, 0.19 , 0.10 , 0.71 ,217, 0.22 , -   , 0.70 ,285, 0.16 , 0.11 , 0.72 ,10-20%,0-10%,70-80%,20-30%,NA,70-80%,10-20%,10-20%,70-80%
E08000034,Kirklees,495, 0.29 , 0.10 , 0.60 ,204, 0.29 , -   , 0.60 ,286, 0.29 , 0.10 , 0.61 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,0-10%,60-70%
